exec_managerial,marginal_professions,other,prof_specialty,sales,tecnical_services,transport_moving,unemployed,age,workclass,education_num,marital_status,race,sex,hours_per_week,target,capital
0,0,0,0,0,0,0,0,39,0,13,0,1,0,40,0,2174
1,0,0,0,0,0,0,0,50,1,13,1,1,0,13,0,0
0,1,0,0,0,0,0,0,38,1,9,0,1,0,40,0,0
0,1,0,0,0,0,0,0,53,1,7,1,0,0,40,0,0
0,0,0,1,0,0,0,0,28,1,13,1,0,1,40,0,0
1,0,0,0,0,0,0,0,37,1,14,1,1,1,40,0,0
0,0,1,0,0,0,0,0,49,1,5,0,0,1,16,0,0
1,0,0,0,0,0,0,0,52,1,9,1,1,0,45,1,0
0,0,0,1,0,0,0,0,31,1,14,0,1,1,50,1,14084
1,0,0,0,0,0,0,0,42,1,13,1,1,0,40,1,5178
1,0,0,0,0,0,0,0,37,1,10,1,0,0,80,1,0
0,0,0,1,0,0,0,0,30,0,13,1,0,0,40,1,0
0,0,0,0,0,0,0,0,23,1,13,0,1,1,30,0,0
0,0,0,0,1,0,0,0,32,1,12,0,0,0,50,0,0
0,0,1,0,0,0,0,0,40,1,11,1,0,0,40,1,0
0,0,0,0,0,0,1,0,34,1,4,1,0,0,45,0,0
0,1,0,0,0,0,0,0,25,1,9,0,1,0,35,0,0
0,0,0,0,0,1,0,0,32,1,9,0,1,0,40,0,0
0,0,0,0,1,0,0,0,38,1,7,1,1,0,50,0,0
1,0,0,0,0,0,0,0,43,1,14,0,1,1,45,1,0
0,0,0,1,0,0,0,0,40,1,16,1,1,0,60,1,0
0,0,1,0,0,0,0,0,54,1,9,0,0,1,20,0,0
0,1,0,0,0,0,0,0,35,0,5,1,0,0,40,0,0
0,0,0,0,0,0,1,0,43,1,7,1,1,0,40,0,-2042
0,0,0,0,0,1,0,0,59,1,9,0,1,1,40,0,0
0,0,0,0,0,1,0,0,56,0,13,1,1,0,40,1,0
0,0,1,0,0,0,0,0,19,1,9,0,1,0,40,0,0
0,0,0,0,0,0,0,1,54,1,10,1,0,0,60,1,0
1,0,0,0,0,0,0,0,39,1,9,0,1,0,80,0,0
0,0,1,0,0,0,0,0,49,1,9,1,1,0,40,0,0
0,1,0,0,0,0,0,0,23,0,12,0,1,0,52,0,0
0,0,0,0,1,0,0,0,20,1,10,0,0,0,44,0,0
1,0,0,0,0,0,0,0,45,1,13,0,1,0,40,0,-1408
0,0,0,0,0,0,0,0,30,0,10,1,1,0,40,0,0
0,0,1,0,0,0,0,0,22,0,10,1,0,0,15,0,0
0,0,0,0,0,1,0,0,48,1,7,0,1,0,40,0,0
0,0,0,0,0,1,0,0,21,1,10,0,1,0,40,0,0
